n_dpe,version_dpe,methode_du_dpe,categorie_erp,secteur_activite,type_energie_principale_chauffage,type_energie_n_1,type_usage_energie_n_1,conso_kwhep_m2_an,emission_ges_kgco2_m2_an,surface_utile,conso_finale_energie,conso_primaire_energie,frais_annuel_energie,annee_construction,etiquette_dpe
2410T0470863F,5,2,0,25,7,7,2,194.0,5.0,1118.8,94701.0,194.7,21055.0,1945,4
2368T2171970P,4,2,4,10,6,7,6,250.8,26.1,100.0,7182.9,11036.099999999999,1381.0,-1,4
2378T2533563K,5,0,4,26,7,7,4,71.3,2.0,100.0,6618.0,15221.4,914.6,2022,2
2221T2154304H,3,2,4,22,7,7,2,287.4,8.0,100.0,15010.0,34523.0,4354.0,-1,5
2233T0844313M,3,2,4,22,6,7,6,20.1,0.6,100.0,9443.0,21718.9,1956.0,2001,1
2154T0821051O,1,2,0,3,4,4,2,179.0,37.0,1410.0,237543.7,179.1,26983.2,1910,3
2275T3108903S,4,2,5,26,6,7,6,313.8,21.5,255.2,83208.0,191378.4,13360.099999999999,2009,4
2386T2441866X,5,2,5,25,6,7,6,270.2,7.5,38.5,11683.0,26870.9,1932.3,1900,4
2271T2913214B,4,3,4,9,6,4,6,284.6,64.6,100.0,16589.6,16589.6,1845.5,-1,5
2394T1737059G,5,2,5,26,6,7,6,311.0,12.1,306.1,52048.0,95218.4,5135.6,2000,4
2159T0070001F,0,6,0,7,2,2,2,157.5,51.0,100.0,1983.2,1983.2,159.1,1947,3
2322T3513336V,5,2,0,20,4,4,2,189.0,27.0,8197.0,1204310.8,189.9,94663.20000000001,2006,3
2178T0116933A,0,6,4,9,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2391T3332704C,5,2,5,25,7,7,2,191.0,5.0,858.0,213873.0,491907.0,137640.0,1997,7
2362T1032721C,4,2,5,25,6,4,6,200.1,33.8,1677.5,521059.4,579529.5,36981.7,1980,4
2144T0482132V,0,2,4,7,6,7,6,338.4,9.4,100.0,8254.0,18984.2,3688.0,1948,5
2345T4077475J,5,2,5,25,6,7,6,355.3,9.9,74.8,11555.0,26576.5,1912.2,1995,5
2374T1702315E,4,2,4,10,6,7,6,133.6,3.7,100.0,3835.0,8820.5,537.0,-1,3
2275T2508892J,4,3,4,22,6,4,6,213.5,37.9,100.0,15233.9,17727.3,1117067.3,1885,4
2275T1299033I,3,2,4,26,6,7,6,383.8,28.3,100.0,43425.7,76889.0,12597.0,-1,5
2306T0947398H,4,2,5,25,6,7,6,345.6,9.6,272.2,40898.0,94065.4,4093.8999999999996,1949,5
2242T2217728M,4,2,4,9,6,0,6,54.9,1.6,100.0,23959.0,33265.7,2480.0,2010,2
2268T2795568C,4,2,5,25,6,7,4,195.0,36.0,1741.0,805950.0,805950.0,56388.0,1977,7
2306T4434626L,5,3,4,22,6,7,6,259.1,7.2,182.4,20552.9,47271.8,2057.4,2009,4
2175T0430996G,0,4,4,7,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2345T2811780U,5,2,0,25,7,7,2,129.0,3.0,24596.0,1379957.0,129.0,104446.2,1992,3
2367T4529537F,5,3,5,25,6,7,6,294.4,46.2,77.6,15571.0,22852.3,2450.1,1955,5
2338T1325564J,4,3,4,22,6,7,6,227.9,6.3,100.0,7882.0,18128.6,3074.0,1980,4
2165T0778484U,1,2,4,9,6,7,6,674.0,18.8,100.0,18096.7,41622.3,5249.3,1948,7
2254T0195935R,3,2,4,26,6,7,6,254.0,7.1,100.0,228007.0,524416.1,66138.0,1989,4
2375T1713473J,4,3,4,16,6,7,6,410.4,11.4,100.0,8745.0,20113.5,1750.0,-1,6
2376T0025028F,4,3,4,11,6,7,6,340.7,16.4,100.0,271227.0,550550.2,22543.3,-1,3
2386T0722189M,4,2,4,26,6,7,6,332.9,9.3,100.0,19422.7,44672.1,2255.3,2010,5
2286T3068717N,4,3,4,22,6,7,6,170.0,4.7,100.0,4634.0,10658.2,1344.0,-1,3
2151T0472028M,0,4,4,9,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1983,1
2187T0728867H,1,2,4,10,6,7,6,370.6,42.5,100.0,29165.0,42808.5,8460.0,1947,5
2378T3029621O,5,3,4,9,6,7,6,647.5,18.0,100.0,545171.0,1253893.3,158138.0,-1,7
2185T0454215R,0,2,4,7,6,4,6,135.0,23.3,711.0,81243.4,95982.29999999999,5783.6,1947,2
2291T1381975A,3,2,0,9,4,7,5,806.9,42.7,3445.7,2463386.0,5210293.800000001,359916.9,1989,7
2263T1459439I,3,2,4,9,6,7,6,330.9,9.2,100.0,30859.0,70975.7,8951.0,-1,5
2369T0258718A,4,2,4,26,6,7,6,156.1,4.3,100.0,27111.3,62356.1,9675.8,-1,3
2164T0539378J,0,6,0,25,4,4,2,48.0,6.0,290.4,10213.2,48.6,568.9,1945,1
2285T2202883E,4,2,4,22,6,2,6,231.0,74.9,100.0,2805.6,2805.6,239.4,1970,4
2366T0293923Y,4,2,5,25,6,7,6,398.3,11.1,538.6,93272.0,214525.6,14969.3,2005,6
2335T4252167X,5,2,4,9,6,7,6,15.1,0.4,100.0,853.0,1961.9,247.0,-1,1
2115T0938833D,1,2,5,6,0,7,3,1224.0,50.0,2508.0,2767125.0,6364386.0,222810.0,1950,7
2267T0735236N,3,2,4,22,6,7,6,241.4,6.7,100.0,25765.0,59259.5,4516.0,2012,4
2233T0038100H,2,2,5,25,6,7,6,180.4,5.0,115.5,9059.0,20835.7,1519.4,1997,4
2252T0919469V,2,2,4,9,6,7,6,377.4,10.5,168.0,55127.0,126792.1,8870.3,1950,5
2285T1008420H,3,2,5,25,6,7,6,191.2,5.3,136.0,11307.0,26006.1,1873.2,2006,4
2368T2503790X,5,2,4,20,6,5,6,126.9,2.9,100.0,9563.0,9563.0,753.0,-1,3
2369T0483781H,4,0,0,22,7,7,4,48.0,1.0,6096.0,71103.2,26.799999999999997,11405.0,2023,1
2185T0674836C,1,2,4,5,6,7,6,127.1,3.5,100.0,7900.0,18170.0,2292.0,2006,3
2292T2285763D,3,2,0,25,7,7,2,55.0,1.0,10175.0,246233.3,55.7,24261.2,1948,2
2220T2822842G,4,2,4,11,6,3,6,97.4,17.1,100.0,19554.3,25181.2,2618.0,1970,3
2392T4050358F,5,2,0,25,7,7,2,319.0,27.0,152.8,29440.2,319.3,2527.0,1948,4
2377T3711602O,5,2,4,9,6,7,6,99.3,2.8,100.0,2193.3,5044.7,636.3,-1,3
2234T0094972S,2,2,5,25,7,7,2,436.7,12.2,148.5,28195.0,64848.5,4564.2,1900,6
2269T2921959I,4,2,0,25,7,7,2,59.0,1.0,137.5,3544.0,59.3,491.9,2000,2
2275T2026829M,4,2,4,22,6,7,6,119.9,3.3,100.0,258150.0,593745.0,41331.6,-1,3
2259T0294805O,3,2,4,22,6,7,6,174.9,4.9,100.0,46425.3,106778.3,5069.7,2013,3
2378T1889442N,5,2,5,25,6,7,6,50.8,1.4,327.8,7233.0,16635.9,1232.1,1991,2
2437T0510788V,5,2,5,25,7,7,2,59.0,1.6,50.0,3851.0,8857.3,1422.3,2005,2
2164T0719533K,1,2,5,26,6,7,6,109.4,3.0,277.8,13213.0,30389.9,2173.1,2017,2
2306T1151457S,4,3,4,9,6,7,6,479.4,13.3,100.0,5918.0,13611.4,1717.0,-1,6
2331T4075236S,5,3,4,22,6,7,6,351.6,30.6,100.0,37056.5,61437.5,6939.3,-1,5
2314T0239953E,4,2,5,11,6,7,3,331.0,9.0,104.4,45024.0,103554.0,7368.0,1920,5
2318T2656184H,5,2,4,9,6,7,6,45.2,1.3,100.0,3359.7,7727.2,750.0,-1,2
2133T0335907J,0,4,4,5,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,2013,1
2306T3107537O,5,3,5,25,6,7,6,165.5,4.6,38.9,2796.0,6430.8,567.2,1980,3
2160T0086287Q,0,6,5,26,6,7,6,814.1,58.3,2935.9,1219062.2,2390037.2,175060.80000000002,1970,7
2375T3140705X,5,2,0,25,7,7,2,418.0,11.0,475.2,86377.4,418.1,9881.6,1945,5
2335T1768078A,4,3,4,25,6,7,6,418.2,11.6,100.0,7000.0,16100.0,800.0,-1,6
2103T0314109V,0,6,5,7,6,7,6,237.5,30.4,3674.0,819219.8,1349076.4,93008.5,1980,3
2269T0105667K,3,2,4,26,6,7,6,202.6,5.6,100.0,21904.0,50379.2,2365.0,1990,3
2378T3270219I,5,3,4,26,6,7,6,249.7,6.9,100.0,6529.0,15016.7,1306.0,-1,4
2174T0896658H,1,2,5,25,6,7,6,533.4,14.8,211.7,49100.0,112930.0,7906.6,1988,7
2344T4373730T,5,2,3,10,6,4,6,96.6,21.9,655.0,63288.0,63288.0,4316.1,1982,3
2368T3403316B,5,2,0,25,4,7,2,218.0,27.0,3893.7,607154.0,219.0,60194.899999999994,2001,4
2360T3470622L,5,0,5,25,4,4,2,99.1,9.8,381.0,18348.2,24568.300000000003,1911.8,2023,3
2275T1249476H,3,2,0,25,7,7,2,554.0,15.0,20.0,4825.0,554.3,552.0,1945,6
2277T1881422Z,3,2,4,26,6,7,6,1.0,0.0,100.0,465.0,1069.5,135.0,2021,1
2459T0398678T,5,2,2,16,6,7,6,131.3,11.8,100.0,15878.0,25988.1,1756.0,1987,3
2106T0779297U,1,2,3,11,6,7,6,311.4,22.2,1677.0,532243.0,1224158.9,85156.4,1988,3
2163T0603333D,1,2,4,7,6,4,6,393.0,89.2,100.0,9230.6,9230.6,254.0,1989,4
2357T0072294K,4,2,4,22,6,4,6,121.1,24.1,100.0,16229.900000000001,17610.0,2291.3,2006,3
2251T2086378X,3,0,0,25,7,7,2,102.0,3.0,1454.8,44849.0,70.89999999999999,7209.0,2022,2
2334T3864798B,5,3,5,10,6,7,3,1002.0,28.0,94.8,123906.0,284982.0,20691.0,1997,7
2202T1867523N,3,2,4,18,6,4,6,120.5,20.4,100.0,29598.4,35379.5,4087.0,-1,3
2235T1732724F,3,2,0,22,7,7,2,316.0,8.0,364.1,50159.0,316.9,7738.8,2001,4
2344T4436777Q,5,2,4,25,6,7,6,148.4,16.4,85.1,9317.8,13902.900000000001,1369.0,-1,3
2338T3804754V,5,3,4,20,4,7,5,281.4,21.4,228.0,40249.0,72115.9,4152.0,1970,4
2369T2976478G,5,2,0,16,1,1,2,71.0,17.0,10237.0,570737.0,71.9,0.0,1970,2
2251T0685274H,3,2,4,22,6,7,6,669.1,18.6,100.0,10771.7,24774.8,3124.7,1947,7
2244T0365402G,2,2,0,25,7,7,2,696.0,19.0,29.4,8900.0,697.0,640.8,1945,7
2338T2511167M,5,3,4,9,6,7,6,8.9,0.2,100.0,113.0,259.9,33.0,-1,1
2168T0893158L,1,2,4,20,6,6,6,207.7,24.9,132.7,0.0,0.0,0.0,2005,3
2106T0074394D,0,6,5,25,7,7,2,28.6,1.0,31.0,385.0,885.5,140.2,2017,1
2274T2251505V,4,2,5,25,6,7,6,920.2,45.4,190.0,207975.0,478342.5,42100.0,1987,7
2393T0789063V,4,2,0,25,7,7,2,142.0,7.0,209.0,15303.5,142.6,2278.5,1971,3
2269T2845945S,4,2,4,26,6,7,6,216.4,26.3,100.0,160676.5,229405.7,16262.0,-1,4
2176T0707313W,1,2,4,10,4,7,6,513.4,43.5,100.0,48836.1,81892.5,9980.0,1947,7
2146T0010117M,0,6,0,7,6,7,6,437.9,12.2,100.0,23875.0,54912.5,4532.2,1948,6
2169T0044222C,0,6,0,7,6,7,6,155.7,4.3,100.0,10714.3,24643.0,1692.6,1978,3
2375T0293484K,4,2,4,22,6,7,6,253.3,7.0,100.0,15746.3,36216.6,4567538.7,-1,4
2314T3733338D,5,3,5,26,4,4,2,62.0,14.0,20.7,3840.0,3840.0,615.0,1985,2
2227T0507707W,3,2,4,26,6,7,6,155.2,4.3,100.0,27466.0,63171.8,7967.0,2011,3
2375T2862177H,5,3,4,10,6,7,6,451.5,40.1,100.0,33505.0,55117.5,4371.0,-1,6
2359T0139786I,4,3,4,9,6,7,6,186.9,17.9,100.0,6832.299999999999,10896.4,722.3,-1,4
2338T2552458P,5,3,4,9,6,5,6,119.5,7.4,100.0,2960.0,3974.0,398.0,-1,3
2324T2190232H,4,2,5,25,6,3,6,220.4,59.9,104.0,30559.0,30559.0,4371.5,1900,4
2231T0303956L,2,2,5,25,6,7,6,150.3,4.2,300.0,19609.0,45100.7,3168.9,1940,3
2226T0876499D,3,2,5,26,4,4,2,112.0,25.0,66.0,22203.0,22203.0,2616.0,1948,3
2393T4282556Y,5,2,4,10,6,7,6,539.7,72.2,140.0,40498.0,88167.7,7439.700000000001,1900,7
2267T0037829E,2,2,4,26,6,7,6,122.4,3.4,100.0,11707.0,26926.1,2266.5,2002,3
2414T0482979J,5,2,5,9,6,7,3,133.0,4.0,144.1,25056.0,57630.0,4224.0,1987,3
2269T2758462Z,4,2,4,25,6,4,6,526.9,111.1,100.0,43620.0,45726.0,4587.0,-1,5
2371T3159577P,5,2,4,22,6,7,6,201.0,5.6,100.0,48067.0,110554.1,18286.0,2011,3
2144T0235742H,0,2,4,10,6,7,6,339.1,30.3,100.0,22742.8,37301.5,2781.3,1947,5
2275T2107527G,4,2,5,26,4,7,5,166.6,8.8,5831.0,1108825.8,2550299.4,177402.2,2019,3
